"node_id","cluster_id","doi","pmid"
3106032,1,"10.1016/j.cell.2005.04.016",15989958
852948,1,"10.1105/tpc.105.033456",15994906
3910033,1,"10.1006/dbio.1999.9523",10642801
484820,1,"10.1038/ncb1681",18193036
3605998,1,"10.1016/j.bbagrm.2007.12.006",18194678
6471545,1,"10.1038/nrg2290",18197166
4218547,1,"10.1038/nri2252",18204468
4734620,1,"10.1134/s0006297907110016",18205598
978364,1,"10.1016/j.molcel.2007.12.010",18206964
2106062,1,"10.1016/j.cub.2007.12.049",18207740
4030723,1,"10.1089/hum.2007.1226",18211225
1784036,1,"10.3390/ijms9060978",19325841
6156904,1,"10.1007/s00412-009-0210-z",19340450
6070827,1,"10.2165/00063030-200923010-00002",19344188
5330881,1,"10.1038/nrg3965",26077373
1220166,1,"10.1242/dev.02521",16914499
90822,1,"10.1038/nsmb1138",16921378
1253828,1,"10.1083/jcb.200603008",16923828
4518798,1,"10.1002/jcb.21069",16927374
5886436,1,"10.1002/wrna.1627",32954644
1993690,1,"10.1155/2014/970607",25180174
960596,1,"10.1038/nsmb.2879",25192263
3727482,1,"10.1155/2014/878450",25197665
5978680,1,"10.1007/978-1-4939-1221-6_12",25201113
5226201,1,"10.1261/rna.1534709",19561119
3974454,1,"10.1073/pnas.232434999",12403829
431214,1,"10.1016/s1097-2765(02)00651-2",12408822
944676,1,"10.1016/s1097-2765(02)00652-4",12408823
6341855,1,"10.1093/emboj/cdf582",12411505
1889134,1,"10.1093/emboj/cdf578",12411504
3531783,1,"10.1101/gad.1026102",12414724
2291019,1,"10.1016/s1360-1385(02)02355-5",12417148
4625058,1,"10.1146/annurev.genet.36.043002.091619",12429701
1390593,1,"10.1101/gad.1884710",20413612
3040371,1,"10.1146/annurev-bioeng-070909-105314",20415587
2194486,1,"10.1111/j.1365-3083.2009.02362.x",20415780
982219,1,"10.1208/s12248-010-9194-0",20422339
4406929,1,"10.1261/rna.1804410",20423980
3582271,1,"10.1038/nature09092",20424607
3557054,1,"10.1016/j.tplants.2010.04.001",20427224
154226,1,"10.1017/s0317167100009902",20437927
2307678,1,"10.1111/j.1752-8062.2008.00028.x",20443818
1750252,1,"10.1186/1471-2164-6-88",15943864
6135458,1,"10.1038/nature03552",15944707
2817498,1,"10.1038/nature03702",15944708
3906397,1,"10.1038/nature03677",15944709
438520,1,"10.1038/nature03816",15944714
6314802,1,"10.1038/nature03817",15951802
113668,1,"10.1038/ng1590",15965474
793024,1,"10.1186/s13068-018-1249-y",30202439
2767090,1,"10.1016/j.febslet.2007.02.074",17367786
1272614,1,"10.1016/j.tig.2007.02.011",17368621
2732376,1,"10.1073/pnas.0701061104",17369351
2858267,1,"10.1101/gad.1521307",17369401
2360005,1,"10.1126/science.1139089",17379774
6183354,1,"10.1101/sqb.2006.71.049",17381277
223110,1,"10.1101/sqb.2006.71.041",17381280
1159165,1,"10.1101/sqb.2006.71.053",17381284
5183239,1,"10.1101/sqb.2006.71.032",17381288
2916252,1,"10.1101/sqb.2006.71.055",17381297
4684042,1,"10.1101/sqb.2006.71.013",17381335
